company,ats,ingestion_method,confidence,career_url,tenant,site,board_token,niche,notes,linkedin_url,follow_status
Kimberly-Clark,workday,workday_post,high,https://kimberlyclark.wd1.myworkdayjobs.com/GLOBAL,kimberlyclark,GLOBAL,,cpg,Live,https://www.linkedin.com/company/kimberly-clark/,pending
General Mills,workday,workday_post,high,https://genmills.wd1.myworkdayjobs.com/GMI_External_Careers,genmills,GMI_External_Careers,,food-beverage,Host is genmills not generalmills,https://www.linkedin.com/company/general-mills/,pending
Sonoco,workday,workday_post,high,https://sonoco.wd1.myworkdayjobs.com/CorporateCareers,sonoco,CorporateCareers,,industrial,Live,https://www.linkedin.com/company/sonoco/,pending
3M,workday,workday_post,high,https://3m.wd1.myworkdayjobs.com/Search,3m,Search,,industrial,Live,https://www.linkedin.com/company/3m/,pending
PepsiCo,jibe,jibe_jobs_json,high,https://www.pepsicojobs.com/main,,,,food-beverage,Jibe /api/jobs; unwrap jobs[].data; iCIMS apply backend,https://www.linkedin.com/company/pepsico/,pending
Procter & Gamble,phenom,phenom_widgets,high,https://www.pgcareers.com/us/en,PGBPGNGLOBAL,,,cpg,POST /widgets refineSearch; refNum PGBPGNGLOBAL,https://www.linkedin.com/company/procter-and-gamble/,pending
The Coca-Cola Company,cws,cws_mcloud_jsonp,high,https://careers.coca-colacompany.com,2110,,,food-beverage,CWS widget; jobsapi-internal.m-cloud.io org 2110; Workday-backed,https://www.linkedin.com/company/the-coca-cola-company/,pending
DuPont,phenom,phenom_widgets,high,https://careers.dupont.com/us/en,DUPOUS,,,industrial,POST /widgets refineSearch; refNum DUPOUS,https://www.linkedin.com/company/dupont/,pending
Nestlé,successfactors,successfactors,medium,https://www.nestlejobs.com,,,,food-beverage,No public RMK JSON,https://www.linkedin.com/company/nestle-s-a-/,pending
Berlin Packaging,greenhouse,greenhouse_get,high,https://job-boards.greenhouse.io/berlinpackaging,,,berlinpackaging,industrial,Public Job Board API,https://www.linkedin.com/company/berlin-packaging/,pending
Ernest Packaging,greenhouse,greenhouse_get,high,https://job-boards.greenhouse.io/ernestpackagingsolutions,,,ernestpackagingsolutions,industrial,Public Job Board API; no packaging-titled roles in latest pull,,pending
Amazon,amazon,amazon_search_json,high,https://www.amazon.jobs,,,,industrial,search.json; semiconductor packaging filtered out; Too broad — skip LinkedIn follow unless intentional,https://www.linkedin.com/company/amazon/,skipped
Kenvue,workday,workday_post,high,https://kenvue.wd5.myworkdayjobs.com/kenvue,kenvue,kenvue,,cpg,Live Workday site slug kenvue,https://www.linkedin.com/company/kenvue/,pending
Clorox,workday,workday_post,high,https://clorox.wd1.myworkdayjobs.com/Clorox,clorox,Clorox,,cpg,Live Workday; drop packer/operator titles,https://www.linkedin.com/company/the-clorox-company/,pending
Conagra Brands,workday,workday_post,high,https://conagrabrands.wd1.myworkdayjobs.com/Careers_US,conagrabrands,Careers_US,,food-beverage,Live Workday Careers_US; packaging engineer titles on board,https://www.linkedin.com/company/conagra-brands/,pending
Campbell's,workday,workday_post,high,https://campbellsoup.wd5.myworkdayjobs.com/ExternalCareers_GlobalSite,campbellsoup,ExternalCareers_GlobalSite,,food-beverage,Live Workday; drop plant operators/techs; CPG package designer,https://www.linkedin.com/company/campbells/,pending
Church & Dwight,workday,workday_post,high,https://churchdwight.wd1.myworkdayjobs.com/chdcareers,churchdwight,chdcareers,,cpg,Live Workday US site chdcareers; Princeton packaging engineers,https://www.linkedin.com/company/church-%26-dwight-co-/,pending
SC Johnson,workday,workday_post,high,https://scj.wd5.myworkdayjobs.com/External_Career_Site,scj,External_Career_Site,,cpg,Live Workday; Racine packaging engineer; TalentBrew front end,https://www.linkedin.com/company/sc-johnson/,pending
J.M. Smucker,workday,workday_post,high,https://smucker.wd5.myworkdayjobs.com/US_External_Careers,smucker,US_External_Careers,,food-beverage,Live Workday; Orrville packaging R&D,https://www.linkedin.com/company/the-j-m-smucker-company/,pending
Unilever,workday,workday_post,high,https://unilever.wd3.myworkdayjobs.com/Unilever_Experienced_Professionals,unilever,Unilever_Experienced_Professionals,,cpg,Live Workday; US packaging hits are plant operators,https://www.linkedin.com/company/unilever/,pending
Johnson & Johnson,workday,workday_post,high,https://jj.wd5.myworkdayjobs.com/JJ,jj,JJ,,pharma,Live Workday; medical/pharma package engineers,https://www.linkedin.com/company/johnson-%26-johnson/,pending
Mars,phenom,phenom_widgets,high,https://careers.mars.com/us/en,MARSGLOBAL,,,food-beverage,Phenom widgets; Engineer Packaging Development Franklin TN,https://www.linkedin.com/company/mars/,pending
Ball Corporation,successfactors,successfactors,high,https://jobs.ball.com,,,,cpg,SF RMK RSS; retagged from Phenom,https://www.linkedin.com/company/ball-corporation/,pending
Sealed Air,successfactors,successfactors,high,https://jobs.sealedair.com,,,,industrial,SF RMK RSS; Cryovac Duncan; retagged from Phenom,https://www.linkedin.com/company/sealed-air/,pending
Amcor,successfactors,successfactors,high,https://jobs-sf.amcor.com,,,,industrial,SF RMK at jobs-sf.amcor.com not amcor.com/careers,https://www.linkedin.com/company/amcor/,pending
WK Kellogg Co,phenom,phenom_widgets,high,https://jobs.wkkellogg.com/us/en/search-results,WKNWKIUS,,,food-beverage,Phenom CareerConnect; Battle Creek packaging engineer,https://www.linkedin.com/company/wk-kellogg-co/,pending
Silgan Containers,workday,workday_post,high,https://silgancontainers.wd1.myworkdayjobs.com/silgan,silgancontainers,silgan,,industrial,Live Workday packaging manufacturer,https://www.linkedin.com/company/silgan-containers/,pending
Silgan Dispensing,workday,workday_post,high,https://silgandispensing.wd501.myworkdayjobs.com/silgan,silgandispensing,silgan,,industrial,Live Workday; wd501 host,https://www.linkedin.com/company/silgan-dispensing/,pending
Aptar,successfactors,successfactors,high,https://jobs.aptar.com,,,,industrial,SuccessFactors RSS not Workday,https://www.linkedin.com/company/aptar/,pending
Autoliv,teamtailor,teamtailor_json,high,https://careerunitedstates.autoliv.com/jobs,,,,automotive,Teamtailor US board jobs.json; not Workday,https://www.linkedin.com/company/autoliv/,pending
General Motors,workday,workday_post,high,https://generalmotors.wd5.myworkdayjobs.com/Careers_GM,generalmotors,Careers_GM,,automotive,US auto OEM; container/returnable packaging engineers,https://www.linkedin.com/company/general-motors/,pending
Magna,workday,workday_post,high,https://magna.wd3.myworkdayjobs.com/Magna,magna,Magna,,automotive,US/Canada auto supplier; returnable packaging engineers,https://www.linkedin.com/company/magna-international/,pending
